Address,City,State,Zip,County
"2121 Euclid Ave","Cleveland","OH","44115","Cuyahoga County"
"1332 Southern Dr","Statesboro","GA","30458","Bulloch County"
"285 Old Westport Rd","North Dartmouth","MA","2747","Bristol County"
"2900 Bedford Ave","Brooklyn","NY","11210","Kings County"
"201 Mullica Hill Rd","Glassboro","NJ","8028","Gloucester County"
"601 College Rd","Wilmington","NC","28403","New Hanover County"
"516 High St","Bellingham","WA","98225","Whatcom County"
"5151 State University Dr","Los Angeles","CA","90032","Los Angeles County"
"2000 Lakeshore Dr","New Orleans","LA","70148","Orleans Parish"
"1 University Dr","Orange","CA","92866","Orange County"
"66 George St","Charleston","SC","29424","Charleston County"
"1400 John R. Lynch St","Jackson","MS","39217","Hinds County"
"800 S Main St","Harrisonburg","VA","22807","Harrisonburg City"
"1 University Circle","Monterey","CA","93943","Monterey County"
"8000 Utopia Pkwy","Queens","NY","11439","Queens County"
"1 John Marshall Dr","Huntington","WV","25755","Cabell County"
"John E. Thomas Hall, 287 Rivers St","Boone","NC","28608","Watauga County"
"501 E St Joseph St","Rapid City","SD","57701","Pennington County"
"2801 S University Ave","Little Rock","AR","72204","Pulaski County"
"921 S 8th Ave","Pocatello","ID","83209","Bannock County"
"801 Leroy Pl","Socorro","NM","87801","Socorro County"
"2495 Bancroft Way","Berkeley","CA","94720","Alameda County"
"204 W Washington St","Lexington","VA","24450","Lexington City"
"6000 Jed Smith Dr","Sacramento","CA","95819","Sacramento County"
"Avenida Ponce de León","San Juan","PR","925","San Juan Municipality"
"198 College Hill Rd","Clinton","NY","13323","Oneida County"
"1276 Gilbreath Dr","Johnson City","TN","37614","Washington County"
"8000 York Rd","Towson","MD","21252","Baltimore County"
"1000 Chastain Rd","Kennesaw","GA","30144","Cobb County"
"106 Central St","Wellesley","MA","2481","Norfolk County"
"Lombardo Welcome Center, 933 Harrisburg Ave","Lancaster","PA","17603","Lancaster County"
"7677 Oakport St Suite #820","Oakland","CA","94621","Alameda County"
"3211 Providence Dr","Anchorage","AK","99508","Anchorage Municipality"
"1601 S Martin Luther King Jr Blvd","Tallahassee","FL","32307","Leon County"
"36 Madison Ave","Madison","NJ","7940","Morris County"
"1700 University Ave","Flint","MI","48504","Genesee County"
"600 Forbes Ave","Pittsburgh","PA","15282","Allegheny County"
"2800 Victory Blvd","Staten Island","NY","10314","Richmond County"
"410 Westhampton Way","Richmond","VA","23173","Henrico County"
"1845 Fairmount St","Wichita","KS","67260","Sedgwick County"
"3333 N Green Bay Rd","North Chicago","IL","60064","Lake County"
"1420 Austin Bluffs Pkwy","Colorado Springs","CO","80918","El Paso County"
"5998 Alcala Park Way","San Diego","CA","92110","San Diego County"
"3203 SE Woodstock Blvd","Portland","OR","97202","Multnomah County"
"4209 OH-44","Rootstown","OH","44272","Portage County"
"1905 University Ave","Huntsville","TX","77340","Walker County"
"200 W Kawili St","Hilo","HI","96720","Hawaii County"
"1 UNF Dr.","Jacksonville","FL","32224","Duval County"
"1180 Western St","Fairfield","CA","94533","Solano County"
"1801 E Cotati Ave","Rohnert Park","CA","94928","Sonoma County"
"65 Bergen St","Newark","NJ","7107","Essex County"
"160 Convent Ave","New York","NY","10031","New York County"
"1201 5th St","Denver","CO","80204","Denver County"
"501 Aldrich Hall","Irvine","CA","92697","Orange County"
"600 University Ave","Troy","AL","36082","Pike County"
"5900 Messer Airport","Birmingham","AL","35212","Jefferson County"
"251 Airport","Mobile","AL","36608","Mobile County"
"800 Merril Field","Anchorage","AK","99501","Anchorage Municipality"
"1873 Shell Simmons","Juneau","AK","99801","Juneau City and Borough"
"6200 S Pulliam","Flagstaff","AZ","86005","Coconino County"
"6033 S Sossaman","Mesa","AZ","85212","Maricopa County"
"3400 Sky Harbor","Phoenix","AZ","85034","Maricopa County"
"7250 S Tucson","Tucson","AZ","85756","Pima County"
"1 Airport","Bentonville","AR","72713","Benton County"
"1 Airport","Little Rock","AR","72202","Pulaski County"
"3701 Wings","Bakersfield","CA","93308","Kern County"
"2627 N Hollywood","Burbank","CA","91505","Los Angeles County"
"1 World Way","Los Angeles","CA","90045","Los Angeles County"
"1 Airport","Oakland","CA","94621","Alameda County"
"2500 E Airport","Ontario","CA","91761","San Bernardino County"
"6900 Airport","Sacramento","CA","95837","Sacramento County"
"3225 N Harbor","San Diego","CA","120488","San Diego County"
"780 S Airport","San Francisco","CA","94128","San Francisco County"
"1701 Airport","San Jose","CA","95110","Santa Clara County"
"7770 Milton E Proby","Colorado Springs","CO","80916","El Paso County"
"11 Schoephoester","Windsor Locks","CT","6096","Hartford County"
"100 Terminal","Fort Lauderdale","FL","33315","Broward County"
"11000 Terminal Access","Fort Myers","FL","33913","Lee County"
"1701 FL-85","Eglin AFB","FL","32542","Okaloosa County"
"2400 Yankee Clipper","Jacksonville","FL","32218","Duval County"
"3491 S Roosevelt","Key West","FL","33040","Monroe County"
"2100 NW 42nd","Miami","FL","33142","Miami-Dade County"
"1 Jeff Fuqua","Orlando","FL","32827","Orange County"
"6300 W Bay","Panama City","FL","32409","Bay County"
"2430 Airport","Pensacola","FL","32504","Escambia County"
"28000 A1 Airport","Punta Gorda","FL","33982","Charlotte County"
"1200 Red Cleveland","Sanford","FL","32773","Seminole County"
"6000 Airport","Sarasota","FL","34243","Sarasota County"
"14700 Terminal","Clearwater","FL","33762","Pinellas County"
"4100 George Bean","Tampa","FL","33607","Hillsborough County"
"1000 James Turnage","West Palm Beach","FL","33415","Palm Beach County"
"400 Airways","Savannah","GA","31408","Chatham County"
"300 Rodgers","Honolulu","HI","96819","Honolulu County"
"1 Kahului Airport","Kahului","HI","96779","Maui County"
"73200 Kupipi","Kailua Kona","HI","96740","Hawaii County"
"3901 Mokulele","Lihue","HI","96766","Kauai County"
"3201 W Airport","Boise","ID","83705","Ada County"
"5700 S Cicero","Chicago","IL","60638","Cook County"
"10000 W Ohare","Chicago","IL","60666","Cook County"
"1200 Capital Airport","Springfield","IL","62707","Sangamon County"
"7800 Colonel H Weir Cook Memorial","Indianapolis","IN","46241","Marion County"
"4477 Progress","South Bend","IN","46628","St. Joseph County"
"2121 Arthur Collins","Cedar Rapids","IA","52404","Linn County"
"5800 Fleur","Des Moines","IA","50321","Polk County"
"2277 Eisenhower Airport Pkwy","Wichita","KS","67209","Sedgwick County"
"3087 Terminal Dr","Hebron","KY","41048","Boone County"
"600 Terminal Drive","Louisville","KY","40209","Jefferson County"
"9430 Jackie Cochran Dr","Baton Rouge","LA","70811","East Baton Rouge Parish"
"PSC 812 Box 1100","Sigonella","AP","9627","N/A"
"5103 Hollywood Ave","Shreveport","LA","71109","Caddo Parish"
"287 Godfrey Blvd","Bangor","ME","4401","Penobscot County"
"1001 Westbrook St","Portland","ME","4102","Cumberland County"
"7050 Friendship Rd","Baltimore","MD","21240","Anne Arundel County"
"1 Harborside Dr","Boston","MA","2128","Suffolk County"
"11050 Rogell Dr","Detroit","MI","48242","Wayne County"
"5500 44th St SE","Grand Rapids","MI","49512","Kent County"
"727 Fly Don't Dr","Traverse City","MI","49686","Grand Traverse County"
"4300 Glumack Dr","St Paul","MN","55111","Ramsey County"
"14035 Airport Rd","Gulfport","MS","39503","Harrison County"
"100 International Dr","Jackson","MS","39208","Rankin County"
"1 Kansas City Blvd","Kansas City","MO","64153","Platte County"
"10701 Lambert International Blvd","St. Louis","MO","63145","St. Louis County"
"2300 N Airport Blvd","Springfield","MO","65802","Greene County"
"1901 Terminal Cir","Billings","MT","59105","Yellowstone County"
"850 Gallatin Field Rd","Belgrade","MT","59714","Gallatin County"
"4170 US-2","Kalispell","MT","59901","Flathead County"
"5225 W Broadway St","Missoula","MT","59808","Missoula County"
"4501 Abbott Dr","Omaha","NE","68110","Douglas County"
"5757 Wayne Newton Blvd","Las Vegas","NV","89119","Clark County"
"2001 E Plumb Ln","Reno","NV","89502","Washoe County"
"1 Airport Rd","Manchester","NH","3103","Hillsborough County"
"101 Atlantic City International Airport","Egg Harbor Township","NJ","8234","Atlantic County"
"3 Brewster Rd","Newark","NJ","7114","Essex County"
"1100 Terminal Cir Dr","Ewing Township","NJ","8628","Mercer County"
"2200 Sunport Blvd","Albuquerque","NM","87106","Bernalillo County"
"737 Albany Shaker Rd","Albany","NY","12211","Albany County"
"4200 Genesee St","Buffalo","NY","14225","Erie County"
"JFK Access Rd","Queens","NY","11430","Queens County"
"94-00 Ditmars Blvd","Queens","NY","11371","Queens County"
"100 Arrival Ave","Ronkonkoma","NY","11779","Suffolk County"
"1180 1st St","New Windsor","NY","12553","Orange County"
"1200 Brooks Ave","Rochester","NY","14624","Monroe County"
"1000 Col Eileen Collins Blvd","Syracuse","NY","13212","Onondaga County"
"240 Airport Rd","West Harrison","NY","10604","Westchester County"
"61 Terminal Dr #1","Fletcher","NC","28732","Henderson County"
"5501 Josh Birmingham Pkwy","Charlotte","NC","28208","Mecklenburg County"
"1000 Ted Johnson Pkwy","Greensboro","NC","27409","Guilford County"
"2400 John Brantley Blvd","Morrisville","NC","27560","Wake County"
"2801 32nd Ave N","Fargo","ND","58102","Cass County"
"5400 Lauby Rd NW","North Canton","OH","44720","Stark County"
"5300 Riverside Dr","Cleveland","OH","44135","Cuyahoga County"
"4600 International Gateway","Columbus","OH","43219","Franklin County"
"3600 Terminal Dr","Vandalia","OH","45377","Montgomery County"
"7100 Terminal Dr","Oklahoma City","OK","73159","Oklahoma County"
"7777 Airport Dr","Tulsa","OK","74115","Tulsa County"
"28801 Douglas Dr","Eugene","OR","97402","Lane County"
"1000 Terminal Loop Pkwy","Medford","OR","97504","Jackson County"
"7000 NE Airport Way","Portland","OR","97218","Multnomah County"
"2522 Jesse Butler Cir","Redmond","OR","97756","Deschutes County"
"3311 Airport Rd","Allentown","PA","18109","Lehigh County"
"1 Terminal Dr","Middletown","PA","17057","Dauphin County"
"8500 Essington Ave","Philadelphia","PA","19153","Philadelphia County"
"1000 Airport Blvd","Pittsburgh","PA","15231","Allegheny County"
"2000 Post Rd","Warwick","RI","2886","Kent County"
"5500 International Blvd","North Charleston","SC","29418","Charleston County"
"3250 Airport Blvd","West Columbia","SC","29170","Lexington County"
"2000 GSP Dr","Greer","SC","29651","Greenville County"
"1100 Jetport Rd","Myrtle Beach","SC","29577","Horry County"
"4550 Terminal Rd","Rapid City","SD","57703","Pennington County"
"2801 N Jaycee Ln","Sioux Falls","SD","57104","Minnehaha County"
"1001 Airport Rd","Chattanooga","TN","37421","Hamilton County"
"2055 Alcoa Hwy","Alcoa","TN","37701","Blount County"
"2491 Winchester Rd","Memphis","TN","38116","Shelby County"
"1 Terminal Dr","Nashville","TN","37214","Davidson County"
"10801 Airport Blvd","Amarillo","TX","79111","Potter County"
"3600 Presidential Blvd","Austin","TX","78719","Travis County"
"8008 Herb Kelleher Way","Dallas","TX","75235","Dallas County"
