Address,City,State,Zip,County
"1111 Franklin","Oakland","CA","94607","Alameda County"
"9500 Gilman","La Jolla","CA","92093","San Diego County"
"200 Plant","Chapel Hill","NC","27514","Orange County"
"6016 McNutt Hall","Hanover","NH","3755","Grafton County"
"117 Pleasant","Minneapolis","MN","55455","Hennepin County"
"660 S Euclid","Saint Louis","MO","63110","St. Louis City"
"1230 York","New York","NY","10065","New York County"
"123 Washington","Newark","NJ","7102","Essex County"
"3470 Trousdale","Los Angeles","CA","90089","Los Angeles County"
"1 Shields ","Davis ","CA ","95616 ","Yolo County "
"2201 West End ","Nashville ","TN ","37235 ","Davidson County "
"201 Old Main ","University Park ","PA ","16802 ","Centre County "
"281 W Lane ","Columbus ","OH ","43210 ","Franklin County "
"610 Purdue Mall ","West Lafayette ","IN ","47907 ","Tippecanoe County "
"5323 Harry Hines ","Dallas ","TX ","75390 ","Dallas County "
"69 Brown St ","Providence ","RI ","2912 ","Providence County "
"1800 Grant Street ","Boulder ","CO ","80302 ","Boulder County "
"1827 University ","Charlottesville ","VA ","22903 ","Albemarle County "
"4200 Fifth ","Pittsburgh ","PA ","15260 ","Allegheny County "
"400 Bizzell ","College Station ","TX ","77843 ","Brazos County "
"7901 Regents ","College Park ","MD ","20742 ","Prince George's County "
"500 Joseph C Wilson ","Rochester ","NY ","14627 ","Monroe County "
"5000 Forbes ","Pittsburgh ","PA ","15213 ","Allegheny County "
"201 Criser Hall ","Gainesville ","FL ","32611 ","Alachua County "
"1200 E University Blvd ","Tucson ","AZ ","85721 ","Pima County "
"Commonwealth Ave","Boston","MA","2215","Suffolk County"
"1101 Student Affairs and Administrative Services Building","Santa Barbara","CA","93106","Santa Barbara County"
"1515 Holcombe Blvd","Houston","TX","77030","Harris County"
"107 S Indiana Ave","Bloomington","IN","47405","Monroe County"
"201 Presidents' Cir","Salt Lake City","UT","84112","Salt Lake County"
"201 Dowman Dr","Atlanta","GA","30322","DeKalb County"
"1 Baylor Plz","Houston","TX","77030","Harris County"
"10900 Euclid Ave","Cleveland","OH","44106","Cuyahoga County"
"419 Boston Ave","Medford","MA","2155","Middlesex County"
"2700 UCC","Iowa City","IA","52242","Johnson County"
"220 Trowbridge Rd","East Lansing","MI","48824","Ingham County"
"6100 Main St","Houston","TX","77005","Harris County"
"13001 E 17th Pl","Aurora","CO","80045","Adams County"
"300 Massachusetts Ave","Amherst","MA","1003","Hampshire County"
"2433 Union Drive","Ames","IA","50011","Story County"
"Holy Cross Dr","Notre Dame","IN","46556","St. Joseph County"
"1 Gustave L. Levy Pl","New York","NY","10029","New York County"
"1720 University Blvd","Birmingham","AL","35294","Jefferson County"
"1151 S Forest Ave","Tempe","AZ","85281","Maricopa County"
"1450 Jayhawk Blvd","Lawrence","KS","66045","Douglas County"
"Holladay Hall, Suite B, Box 7010, NC State University","Raleigh","NC","27695","Wake County"
"352 Mansfield Rd","Storrs","CT","6269","Tolland County"
"100 Nicolls Rd","Stony Brook","NY","11794","Suffolk County"
"415 South St","Waltham","MA","2453","Middlesex County"
"University of Georgia Chapel, Herty Dr","Athens","GA","30602","Clarke County"
"500 W 185th St","New York","NY","10033","New York County"
"10550 N Torrey Pines Rd","La Jolla","CA","92037","San Diego County"
"1200 W Harrison St","Chicago","IL","60607","Cook County"
"325 Jesse Hall","Columbia","MO","65211","Boone County"
"1320 S Dixie Hwy","Coral Gables","FL","33146","Miami-Dade County"
"3700 O St NW","Washington","DC","20057","District of Columbia"
"2600 Clifton Ave","Cincinnati","OH","45221","Hamilton County"
"1834 Wake Forest Rd","Winston-Salem","NC","27109","Forsyth County"
"900 University Ave","Riverside","CA","92521","Riverside County"
"7000 Fannin St","Houston","TX","77030","Harris County"
"800 Andy Holt Ave","Knoxville","TN","37996","Knox County"
"907 Floyd Ave","Richmond","VA","23284","Richmond City"
"900 Oval Dr","Fort Collins","CO","80521","Larimer County"
"4302 University Dr","Houston","TX","77004","Harris County"
"3181 SW Sam Jackson Park Rd","Portland","OR","97239","Multnomah County"
"1500 SW Jefferson Way","Corvallis","OR","97331","Benton County"
"800 Drillfield Dr","Blacksburg","VA","24061","Montgomery County"
"222 S Copeland St","Tallahassee","FL","32306","Leon County"
"55 Lake Ave N","Worcester","MA","1655","Worcester County"
"1156 High St","Santa Cruz","CA","95064","Santa Cruz County"
"620 W Lexington St","Baltimore","MD","21201","Baltimore City"
"190 Founders Prom","Getzville","NY","14068","Erie County"
"4202 E Fowler Ave","Tampa","FL","33620","Hillsborough County"
"42 W Warren Ave","Detroit","MI","48202","Wayne County"
"210 S College Ave","Newark","DE","19716","New Castle County"
"410 Administration Dr","Lexington","KY","40506","Fayette County"
"156 Thomas Boyd Hall","Baton Rouge","LA","70803","East Baton Rouge Parish"
"University of New Mexico","Albuquerque","NM","87131","Bernalillo County"
"1400 R St","Lincoln","NE","68588","Lancaster County"
"255 E Main St","Pullman","WA","99163","Whitman County"
"2121 I St NW","Washington","DC","20052","District of Columbia"
"6425 Boaz Ln","Dallas","TX","75205","Dallas County"
"360 Huntington Ave","Boston","MA","2115","Suffolk County"
"1523 Greene St","Columbia","SC","29208","Richland County"
"160 Convent Ave","New York","NY","10031","New York County"
"1801 N Broad St","Philadelphia","PA","19122","Philadelphia County"
"1300 Morris Park Ave","Bronx","NY","10461","Bronx County"
"3141 Chestnut St","Philadelphia","PA","19104","Philadelphia County"
"1585 E 13th Ave","Eugene","OR","97403","Lane County"
"171 Ashley Ave","Charleston","SC","29425","Charleston County"
"660 Parrington Oval","Norman","OK","73019","Cleveland County"
"800 W Campbell Rd","Richardson","TX","75080","Dallas County"
"1400 Washington Ave","Albany","NY","12222","Albany County"
"220 South Pleasant Street","Amherst","MA","1002","Hampshire County"
"420 University Blvd","Indianapolis","IN","46202","Marion County"
"2500 Broadway W","Lubbock","TX","79409","Lubbock County"
"4201 Henry Ave","Philadelphia","PA","19144","Philadelphia County"
"919 Mid-Campus Dr S","Manhattan","KS","66506","Riley County"
"1 Alumni Dr","University","MS","38677","Lafayette County"
